,MAE,NRMSE,SSIM,PCC,Dice,mIOU,R2,psnr
91,0.1894078254699707,0.3801217384715204,0.6316057242772621,0.911571204662323,0.9808349609375,0.2855521697655462,0.8193269724066544,26.23740159992371
92,0.27570652961730957,0.3622502602562199,0.7306626005614365,0.9307779669761658,0.9761505126953125,0.34739066914794603,0.8534401728849447,24.669020208323623
93,0.2098819762468338,0.30052376674816583,0.8003307005146116,0.9552710652351379,0.944793701171875,0.2403948686972772,0.8989080706145742,27.48381298546964
94,0.1000070720911026,0.27516938986521194,0.3836565774921152,0.9546628594398499,0.823974609375,0.12126758674073836,0.9107720996546335,23.18303027248637
95,0.1742541790008545,0.6452895325157326,0.2894895775298356,0.6182968616485596,0.994537353515625,0.002788293068821535,0.16376400707569816,22.197542904823745
96,0.22997817397117615,0.45405408492965943,0.6180502832052698,0.8648377656936646,0.954803466796875,0.20183260527280913,0.7387346047090986,24.973309485866878
97,0.29762059450149536,0.4303014329441458,0.6223748987653279,0.8775952458381653,0.914886474609375,0.10851860180300434,0.7630335963216817,23.819399966641626
98,0.09760884940624237,0.294994695123539,0.9283185697222376,0.9506393074989319,0.980987548828125,0.14774340099630576,0.8856565239077119,32.263235142684714
99,0.27165693044662476,0.5536603789666643,0.649580104079931,0.7770875692367554,0.9800872802734375,0.12592154995207638,0.5620409454614039,25.30023100632284
100,0.2793247103691101,0.42982069445485144,0.6614266260263425,0.8975642919540405,0.975311279296875,0.3657391745436399,0.8012116488376866,25.090086172362117
101,0.11897788196802139,0.31315111324924977,0.7008534736177132,0.9484387040138245,0.9542388916015625,0.06369058267543469,0.8983100626021918,28.36095449521934
102,0.3115425705909729,0.35167408766958413,0.6677775937121896,0.9054825305938721,0.9269256591796875,0.21504684231325316,0.7990186567306168,24.88371640377007
103,0.15278734266757965,0.4445503578904482,0.556127799986726,0.8959732055664062,0.98431396484375,0.250729409089352,0.8023569182824659,26.240868692631885
104,0.23710067570209503,0.6062848254676172,0.5759405738163736,0.7531893849372864,0.9859619140625,0.09980518610060068,0.5027126938958311,23.608053529861056
105,0.1717691719532013,0.42232376899412805,0.7038769426025292,0.914699137210846,0.9716796875,0.1751114777282321,0.8148952993713439,26.096742671433304
106,0.3625923991203308,0.3971981514097628,0.6854904811239444,0.8811097145080566,0.9481048583984375,0.19749900955662822,0.7547225951869576,23.92631908659215
107,0.2766008675098419,0.6088959499665572,0.5493468248686805,0.8067306876182556,0.97161865234375,0.11890141217365599,0.6273134036333313,22.764590840805454
108,0.24323740601539612,0.4024305742272887,0.6691542114688501,0.9069896936416626,0.9749603271484375,0.23460856594749718,0.8149436935351626,26.101476204021342
109,0.14794300496578217,0.510979802566117,0.7938234945273012,0.8444509506225586,0.986480712890625,0.13645308337906104,0.6756572589779823,26.617375894676062
110,0.26601988077163696,0.4166185995902462,0.6779493186351908,0.9133566617965698,0.944427490234375,0.18340825484119846,0.8090390480398675,25.60676289232547
111,0.2696995139122009,0.9827711696770858,0.5725991405115206,0.6726688742637634,0.994415283203125,0.23750158853835723,0.030963002123943983,24.714651436531412
112,0.46685707569122314,0.474429255862518,0.5578489252426789,0.7887510657310486,0.910919189453125,0.17948008721291817,0.596896842906396,21.36988711719677
113,0.13396786153316498,0.32260765984615786,0.7540309314260073,0.9482670426368713,0.991180419921875,0.3676155715365738,0.8952581719544012,29.75924422748076
114,0.3121117353439331,0.4165032696210345,0.6965212857285459,0.8903878927230835,0.9327239990234375,0.16559440469447298,0.7843576310350775,24.323891989894474
115,0.28815481066703796,0.39143927846966103,0.717816722751621,0.9045248031616211,0.916473388671875,0.12275655084029634,0.8103023633271847,25.032184475156825
116,0.20993395149707794,0.8037074635760317,0.7364616165498908,0.7089377045631409,0.9964447021484375,0.33428761632109627,0.2544361068464517,25.278690366225746
117,0.36083725094795227,0.3598725349548193,0.6683694684002495,0.8851872086524963,0.9582672119140625,0.2677378131893405,0.7628573759552818,24.437799392296338
118,0.20009301602840424,0.37396994392875516,0.7045832040617517,0.9252722859382629,0.96746826171875,0.3210193245161387,0.8499735188898818,26.6977875777756
119,0.29277461767196655,0.458432582951556,0.6636889474569735,0.8746695518493652,0.953948974609375,0.17019544399355402,0.7575800269005228,23.24776026909927
120,0.1450861692428589,0.4283656820358112,0.6125547010662623,0.8924223780632019,0.99029541015625,0.26728195013600214,0.7852139122908309,27.138557244816024
121,0.14154255390167236,0.46150922573345954,0.6165705301984717,0.8849614858627319,0.9912567138671875,0.08173224081371665,0.7819215973463494,26.50159995811976
122,0.27312055230140686,0.8300144018017752,0.5916320824563961,0.5482951402664185,0.919891357421875,0.0007615148912228986,0.14024724283015277,24.261233901131053
123,0.10989698767662048,0.3687336574908611,0.6062225724685187,0.8161883354187012,0.991607666015625,0.1654033908901504,0.6569337756323694,25.920838727239243
124,0.21133282780647278,0.3341087680444326,0.8231771970136873,0.949356198310852,0.9445648193359375,0.22388395131725028,0.8860769056092442,25.977079294619422
125,0.207209974527359,0.6183400704832498,0.6827930712051347,0.7703447341918945,0.990631103515625,0.22572607096334055,0.5668023556707149,24.073105637296557
126,0.2126407027244568,0.37108623311834626,0.6132932315349083,0.8526504635810852,0.984130859375,0.3171376775195814,0.7234054485846808,27.33267910012261
127,0.3657638430595398,0.4563518092784972,0.5500281315058003,0.7889474034309387,0.928955078125,0.30528210902982555,0.6123795829920545,21.575884429959352
